Average Opto-GEF concentration in 1/um^2;distance;Membrane GEF @ illuminated pole @ t=0;Membrane GEF @ non-illuminated pole @ t=0;Cytosol GEF @ illuminated pole @ t=0;Cytosol GEF @ non-illuminated pole @ t=0;Membrane GEF @ illuminated pole @ t=300;Membrane GEF @ non-illuminated pole @ t=300;Cytosol GEF @ illuminated pole @ t=300;Cytosol GEF @ non-illuminated pole @ t=300;Membrane GEF @ illuminated pole @ t=600;Membrane GEF @ non-illuminated pole @ t=600;Cytosol GEF @ illuminated pole @ t=600;Cytosol GEF @ non-illuminated pole @ t=600;Membrane GEF @ illuminated pole @ t=900;Membrane GEF @ non-illuminated pole @ t=900;Cytosol GEF @ illuminated pole @ t=900;Cytosol GEF @ non-illuminated pole @ t=900;Membrane GEF @ illuminated pole @ t=1200;Membrane GEF @ non-illuminated pole @ t=1200;Cytosol GEF @ illuminated pole @ t=1200;Cytosol GEF @ non-illuminated pole @ t=1200;Membrane GEF @ illuminated pole @ t=1500;Membrane GEF @ non-illuminated pole @ t=1500;Cytosol GEF @ illuminated pole @ t=1500;Cytosol GEF @ non-illuminated pole @ t=1500;Membrane GEF @ illuminated pole @ t=1800;Membrane GEF @ non-illuminated pole @ t=1800;Cytosol GEF @ illuminated pole @ t=1800;Cytosol GEF @ non-illuminated pole @ t=1800;Membrane GEF @ illuminated pole @ t=2100;Membrane GEF @ non-illuminated pole @ t=2100;Cytosol GEF @ illuminated pole @ t=2100;Cytosol GEF @ non-illuminated pole @ t=2100;Membrane GEF @ illuminated pole @ t=2400;Membrane GEF @ non-illuminated pole @ t=2400;Cytosol GEF @ illuminated pole @ t=2400;Cytosol GEF @ non-illuminated pole @ t=2400;Membrane GEF @ illuminated pole @ t=2700;Membrane GEF @ non-illuminated pole @ t=2700;Cytosol GEF @ illuminated pole @ t=2700;Cytosol GEF @ non-illuminated pole @ t=2700;Membrane GEF @ illuminated pole @ t=3000;Membrane GEF @ non-illuminated pole @ t=3000;Cytosol GEF @ illuminated pole @ t=3000;Cytosol GEF @ non-illuminated pole @ t=3000;Membrane GEF @ illuminated pole @ t=3300;Membrane GEF @ non-illuminated pole @ t=3300;Cytosol GEF @ illuminated pole @ t=3300;Cytosol GEF @ non-illuminated pole @ t=3300;Membrane GEF @ illuminated pole @ t=3600;Membrane GEF @ non-illuminated pole @ t=3600;Cytosol GEF @ illuminated pole @ t=3600;Cytosol GEF @ non-illuminated pole @ t=3600;Membrane GEF @ illuminated pole @ t=3900;Membrane GEF @ non-illuminated pole @ t=3900;Cytosol GEF @ illuminated pole @ t=3900;Cytosol GEF @ non-illuminated pole @ t=3900;Membrane GEF @ illuminated pole @ t=4200;Membrane GEF @ non-illuminated pole @ t=4200;Cytosol GEF @ illuminated pole @ t=4200;Cytosol GEF @ non-illuminated pole @ t=4200;Membrane GEF @ illuminated pole @ t=4500;Membrane GEF @ non-illuminated pole @ t=4500;Cytosol GEF @ illuminated pole @ t=4500;Cytosol GEF @ non-illuminated pole @ t=4500;Membrane GEF @ illuminated pole @ t=4800;Membrane GEF @ non-illuminated pole @ t=4800;Cytosol GEF @ illuminated pole @ t=4800;Cytosol GEF @ non-illuminated pole @ t=4800;Membrane GEF @ illuminated pole @ t=5100;Membrane GEF @ non-illuminated pole @ t=5100;Cytosol GEF @ illuminated pole @ t=5100;Cytosol GEF @ non-illuminated pole @ t=5100;Membrane GEF @ illuminated pole @ t=5400;Membrane GEF @ non-illuminated pole @ t=5400;Cytosol GEF @ illuminated pole @ t=5400;Cytosol GEF @ non-illuminated pole @ t=5400;Membrane GEF @ illuminated pole @ t=5700;Membrane GEF @ non-illuminated pole @ t=5700;Cytosol GEF @ illuminated pole @ t=5700;Cytosol GEF @ non-illuminated pole @ t=5700;Membrane GEF @ illuminated pole @ t=6000;Membrane GEF @ non-illuminated pole @ t=6000;Cytosol GEF @ illuminated pole @ t=6000;Cytosol GEF @ non-illuminated pole @ t=6000
0;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.;0.
0.75;0.;6.8713000000000005e-9;3.2803e-10;0.75;0.75;0.043081;0.0069813;0.74841;0.74955;0.047273;0.011054;0.74902;0.74952;0.044982;0.013091;0.74938;0.74957;0.040609;0.013784;0.74962;0.74964;0.035716;0.013623;0.74978;0.74971;0.030913;0.012939;0.7499;0.74977;0.026475;0.011964;0.74998;0.74983;0.022505;0.010849;0.75003;0.74987;0.019019;0.0096947;0.75007;0.74991;0.016;0.0085638;0.75009;0.74994;0.013414;0.0074961;0.7501;0.74996;0.011217;0.0065136;0.75011;0.74997;0.0093597;0.0056258;0.75011;0.74998;0.0077959;0.0048344;0.7501;0.74999;0.0064841;0.0041372;0.7501;0.75;0.005387;0.003529;0.75009;0.75;0.0044711;0.0030018;0.75009;0.75;0.0037074;0.002546;0.75008;0.75;0.0030716;0.0021546;0.75007;0.75;0.0025429;0.001819;0.75007;0.75
1.5;0.;1.3743000000000001e-8;6.5606e-10;1.5;1.5;0.085332;0.013609;1.4969;1.4991;0.093493;0.021554;1.4981;1.4991;0.088849;0.025528;1.4988;1.4992;0.080162;0.026883;1.4993;1.4993;0.070405;0.026562;1.4996;1.4994;0.060885;0.025225;1.4998;1.4996;0.052104;0.023318;1.5;1.4997;0.044258;0.021143;1.5001;1.4997;0.037393;0.018896;1.5001;1.4998;0.031464;0.016701;1.5002;1.4999;0.026378;0.014625;1.5002;1.4999;0.022051;0.012711;1.5002;1.4999;0.018391;0.01098;1.5002;1.5;0.015312;0.0094363;1.5002;1.5;0.012731;0.0080756;1.5002;1.5;0.010573;0.006886;1.5002;1.5;0.0087724;0.0058529;1.5002;1.5;0.0072721;0.0049614;1.5002;1.5;0.0060248;0.0041962;1.5001;1.5;0.0049891;0.0035422;1.5001;1.5
2.25;0.;2.0614e-8;9.8408e-10;2.25;2.25;0.13118;0.021087;2.2452;2.2486;0.14386;0.033404;2.247;2.2486;0.13681;0.039564;2.2481;2.2487;0.12347;0.041666;2.2488;2.2489;0.10856;0.041179;2.2493;2.2491;0.093933;0.039118;2.2497;2.2493;0.080428;0.03617;2.2499;2.2495;0.068344;0.032801;2.2501;2.2496;0.057734;0.029307;2.2502;2.2497;0.048556;0.025887;2.2503;2.2498;0.040701;0.022659;2.2503;2.2499;0.034029;0.01969;2.2503;2.2499;0.02839;0.017006;2.2503;2.25;0.023642;0.014613;2.2503;2.25;0.019656;0.012501;2.2503;2.25;0.016318;0.010655;2.2503;2.25;0.013541;0.0090568;2.2503;2.25;0.01123;0.0076804;2.2502;2.25;0.0093082;0.0064999;2.2502;2.25;0.0077096;0.0054896;2.2502;2.25
3;0.;2.7485e-8;1.3121e-9;3.;3.;0.17122;0.027331;2.9937;2.9982;0.1875;0.043291;2.9961;2.9981;0.17816;0.051264;2.9976;2.9983;0.16067;0.053977;2.9985;2.9986;0.14117;0.053336;2.9992;2.9988;0.1221;0.050658;2.9996;2.9991;0.10452;0.04684;2.9999;2.9993;0.08882;0.042484;3.0001;2.9995;0.075028;0.037963;3.0003;2.9996;0.063095;0.033536;3.0004;2.9997;0.052877;0.029356;3.0004;2.9998;0.0442;0.025508;3.0004;2.9999;0.03687;0.022032;3.0004;2.9999;0.030701;0.018934;3.0004;3.;0.025527;0.016201;3.0004;3.;0.0212;0.013816;3.0004;3.;0.017591;0.011748;3.0003;3.;0.014586;0.0099638;3.0003;3.;0.012085;0.0084311;3.0003;3.;0.010007;0.0071178;3.0003;3.
3.75;0.;3.4356e-8;1.6401e-9;3.75;3.75;0.21718;0.034898;3.742;3.7477;0.23816;0.055278;3.7451;3.7476;0.22643;0.065468;3.7469;3.7478;0.20439;0.068947;3.7481;3.7482;0.1797;0.068145;3.7489;3.7485;0.1555;0.064736;3.7495;3.7488;0.13314;0.059858;3.7499;3.7491;0.11312;0.054276;3.7502;3.7494;0.095544;0.048493;3.7503;3.7495;0.080353;0.042832;3.7505;3.7497;0.067358;0.037492;3.7505;3.7498;0.056314;0.032576;3.7505;3.7499;0.046974;0.028133;3.7505;3.7499;0.039109;0.024172;3.7505;3.75;0.032507;0.020677;3.7505;3.75;0.026994;0.017622;3.7505;3.75;0.022405;0.014977;3.7504;3.75;0.018587;0.012697;3.7504;3.75;0.01541;0.010741;3.7504;3.75;0.012768;0.00907;3.7503;3.75
4.5;0.;4.1228e-8;1.9682e-9;4.5;4.5;0.26048;0.04185;4.4904;4.4973;0.28564;0.066289;4.4941;4.4971;0.27157;0.078508;4.4963;4.4974;0.24513;0.082681;4.4977;4.4978;0.21553;0.081719;4.4987;4.4982;0.1865;0.077631;4.4994;4.4986;0.15967;0.071781;4.4999;4.4989;0.13566;0.065088;4.5002;4.4992;0.11458;0.058152;4.5004;4.4994;0.096365;0.051364;4.5005;4.4996;0.080779;0.044959;4.5006;4.4997;0.067535;0.039064;4.5006;4.4998;0.056332;0.033736;4.5006;4.4999;0.046899;0.028986;4.5006;4.5;0.038984;0.024794;4.5006;4.5;0.032372;0.021132;4.5006;4.5;0.026871;0.017961;4.5005;4.5;0.022292;0.015227;4.5005;4.5;0.018482;0.012882;4.5004;4.5;0.015312;0.010877;4.5004;4.5
5.25;0.;4.8099e-8;2.2962e-9;5.25;5.25;0.30083;0.048086;5.2389;5.2469;0.32969;0.076164;5.2432;5.2467;0.31345;0.090209;5.2457;5.247;0.28275;0.094993;5.2474;5.2475;0.24846;0.093873;5.2485;5.248;0.21493;0.089165;5.2493;5.2484;0.18398;0.08245;5.2499;5.2488;0.15636;0.074784;5.2502;5.2491;0.13208;0.066827;5.2505;5.2494;0.11107;0.059034;5.2506;5.2496;0.093084;0.051675;5.2507;5.2497;0.077808;0.044903;5.2507;5.2498;0.064906;0.038785;5.2508;5.2499;0.054047;0.03333;5.2507;5.2499;0.044938;0.02852;5.2507;5.25;0.037323;0.024317;5.2507;5.25;0.030971;0.020671;5.2506;5.25;0.02568;0.017526;5.2506;5.25;0.021279;0.014826;5.2505;5.25;0.017621;0.012516;5.2505;5.25
6;0.;5.497e-8;2.6242e-9;6.;6.;0.34352;0.054898;5.9874;5.9964;0.37647;0.086951;5.9922;5.9962;0.35792;0.10299;5.9951;5.9966;0.32285;0.10845;5.997;5.9971;0.2837;0.10717;5.9983;5.9977;0.24541;0.10179;5.9992;5.9982;0.21008;0.094128;5.9998;5.9986;0.17853;0.085376;6.0003;5.999;0.1508;0.076291;6.0005;5.9993;0.12681;0.067394;6.0007;5.9995;0.10628;0.058993;6.0008;5.9997;0.088837;0.051262;6.0009;5.9998;0.074106;0.044277;6.0009;5.9999;0.061707;0.03805;6.0008;5.9999;0.051307;0.032559;6.0008;6.;0.042613;0.02776;6.0008;6.;0.035361;0.023599;6.0007;6.;0.02932;0.020009;6.0006;6.;0.024294;0.016926;6.0006;6.;0.020118;0.014289;6.0005;6.
6.75;0.;6.1841e-8;2.9523000000000002e-9;6.75;6.75;0.38621;0.061708;6.7358;6.746;0.42324;0.097738;6.7412;6.7458;0.40238;0.11576;6.7445;6.7462;0.36295;0.1219;6.7466;6.7468;0.31894;0.12046;6.7481;6.7474;0.27589;0.11442;6.7491;6.748;0.23617;0.10581;6.7498;6.7485;0.2007;0.095968;6.7503;6.7489;0.16953;0.085755;6.7506;6.7492;0.14256;0.075754;6.7508;6.7494;0.11947;0.06631;6.7509;6.7496;0.099866;0.05762;6.751;6.7498;0.083305;0.049769;6.751;6.7499;0.069366;0.042769;6.7509;6.7499;0.057676;0.036597;6.7509;6.75;0.047903;0.031204;6.7508;6.75;0.03975;0.026526;6.7508;6.75;0.03296;0.022491;6.7507;6.75;0.02731;0.019025;6.7507;6.75;0.022615;0.016061;6.7506;6.75
7.5;0.;6.8713e-8;3.2803000000000003e-9;7.5;7.5;0.4289;0.068519;7.4842;7.4956;0.47001;0.10852;7.4903;7.4953;0.44684;0.12854;7.4939;7.4958;0.40305;0.13535;7.4962;7.4964;0.35418;0.13376;7.4979;7.4971;0.30637;0.12705;7.499;7.4977;0.26226;0.11748;7.4998;7.4983;0.22287;0.10656;7.5003;7.4987;0.18825;0.095218;7.5007;7.4991;0.1583;0.084113;7.5009;7.4994;0.13266;0.073627;7.501;7.4996;0.11089;0.063979;7.5011;7.4997;0.092504;0.055261;7.5011;7.4998;0.077026;0.047488;7.501;7.4999;0.064045;0.040635;7.501;7.5;0.053192;0.034647;7.5009;7.5;0.04414;0.029453;7.5009;7.5;0.036599;0.024972;7.5008;7.5;0.030325;0.021125;7.5007;7.5;0.025112;0.017834;7.5007;7.5
8.25;0.;7.5584e-8;3.6083e-9;8.25;8.25;0.47159;0.075329;8.2327;8.2451;0.51678;0.11931;8.2393;8.2448;0.4913;0.14131;8.2433;8.2453;0.44315;0.1488;8.2459;8.2461;0.38942;0.14705;8.2477;8.2468;0.33685;0.13968;8.2489;8.2475;0.28835;0.12916;8.2498;8.2481;0.24504;0.11715;8.2504;8.2486;0.20697;0.10468;8.2508;8.249;0.17404;0.092472;8.251;8.2493;0.14586;0.080944;8.2511;8.2495;0.12192;0.070337;8.2512;8.2497;0.1017;0.060752;8.2512;8.2498;0.084685;0.052207;8.2511;8.2499;0.070413;0.044673;8.2511;8.25;0.058481;0.03809;8.251;8.25;0.048529;0.03238;8.251;8.25;0.040238;0.027454;8.2509;8.25;0.033341;0.023224;8.2508;8.25;0.027608;0.019605;8.2507;8.25
9;0.;8.2455e-8;3.9363e-9;9.;9.;0.51428;0.082139;8.9811;8.9947;0.56355;0.1301;8.9883;8.9944;0.53576;0.15408;8.9927;8.9949;0.48324;0.16225;8.9955;8.9957;0.42465;0.16034;8.9975;8.9965;0.36733;0.15231;8.9988;8.9973;0.31444;0.14084;8.9998;8.9979;0.26721;0.12774;9.0004;8.9985;0.2257;0.11414;9.0008;8.9989;0.18979;0.10083;9.0011;8.9992;0.15905;0.088261;9.0012;8.9995;0.13295;0.076695;9.0013;8.9997;0.1109;0.066244;9.0013;8.9998;0.092344;0.056926;9.0013;8.9999;0.076781;0.048711;9.0012;9.;0.06377;0.041533;9.0011;9.;0.052918;0.035307;9.001;9.;0.043877;0.029936;9.001;9.;0.036356;0.025324;9.0009;9.;0.030105;0.021377;9.0008;9.
9.75;0.;8.932600000000002e-8;4.2644e-9;9.75;9.75;0.55696;0.088949;9.7295;9.7442;0.61032;0.14088;9.7374;9.7439;0.58022;0.16686;9.742;9.7445;0.52334;0.17571;9.7451;9.7453;0.45989;0.17364;9.7473;9.7462;0.39781;0.16493;9.7487;9.7471;0.34053;0.15251;9.7497;9.7478;0.28937;0.13833;9.7504;9.7484;0.24442;0.12361;9.7509;9.7488;0.20553;0.10919;9.7512;9.7492;0.17224;0.095578;9.7513;9.7495;0.14398;0.083052;9.7514;9.7497;0.1201;0.071735;9.7514;9.7498;0.1;0.061645;9.7514;9.7499;0.083149;0.052749;9.7513;9.75;0.069059;0.044976;9.7512;9.75;0.057307;0.038234;9.7511;9.75;0.047517;0.032418;9.751;9.75;0.039371;0.027423;9.751;9.75;0.032601;0.023149;9.7509;9.75
10.5;0.;9.6198e-8;4.5924e-9;10.5;10.5;0.59965;0.095759;10.478;10.494;0.65709;0.15167;10.486;10.493;0.62468;0.17963;10.491;10.494;0.56344;0.18916;10.495;10.495;0.49512;0.18693;10.497;10.496;0.42829;0.17756;10.499;10.497;0.36662;0.16419;10.5;10.498;0.31154;0.14892;10.5;10.498;0.26314;0.13307;10.501;10.499;0.22127;0.11755;10.501;10.499;0.18544;0.10289;10.501;10.499;0.15501;0.08941;10.501;10.5;0.1293;0.077226;10.502;10.5;0.10766;0.066364;10.501;10.5;0.089517;0.056787;10.501;10.5;0.074348;0.048419;10.501;10.5;0.061696;0.041161;10.501;10.5;0.051156;0.0349;10.501;10.5;0.042386;0.029522;10.501;10.5;0.035098;0.024921;10.501;10.5
11.25;0.;1.0307e-7;4.9204000000000005e-9;11.25;11.25;0.64234;0.10257;11.226;11.243;0.70386;0.16245;11.235;11.243;0.66914;0.19241;11.241;11.244;0.60353;0.20261;11.244;11.245;0.53035;0.20022;11.247;11.246;0.45877;0.19019;11.249;11.247;0.39271;0.17587;11.25;11.247;0.33371;0.15951;11.251;11.248;0.28186;0.14253;11.251;11.249;0.23701;0.12591;11.251;11.249;0.19863;0.11021;11.252;11.249;0.16603;0.095768;11.252;11.25;0.1385;0.082717;11.252;11.25;0.11532;0.071082;11.252;11.25;0.095885;0.060825;11.251;11.25;0.079637;0.051862;11.251;11.25;0.066085;0.044088;11.251;11.25;0.054795;0.037381;11.251;11.25;0.045401;0.031622;11.251;11.25;0.037594;0.026693;11.251;11.25
12.;0.;1.0993999999999999e-7;5.248500000000001e-9;12.;12.;0.68503;0.10938;11.975;11.993;0.75063;0.17324;11.984;11.993;0.71359;0.20518;11.99;11.993;0.64363;0.21606;11.994;11.994;0.56559;0.21351;11.997;11.995;0.48925;0.20281;11.998;11.996;0.4188;0.18754;12.;11.997;0.35588;0.1701;12.001;11.998;0.30058;0.15199;12.001;11.999;0.25275;0.13426;12.001;11.999;0.21182;0.11753;12.002;11.999;0.17706;0.10213;12.002;12.;0.14769;0.088209;12.002;12.;0.12298;0.075801;12.002;12.;0.10225;0.064862;12.002;12.;0.084926;0.055305;12.001;12.;0.070473;0.047015;12.001;12.;0.058434;0.039863;12.001;12.;0.048416;0.033721;12.001;12.;0.040091;0.028465;12.001;12.
12.75;0.;1.1680999999999999e-7;5.5765e-9;12.75;12.75;0.72771;0.11619;12.723;12.742;0.79739;0.18402;12.733;12.742;0.75805;0.21795;12.74;12.743;0.68372;0.22951;12.744;12.744;0.60082;0.22681;12.746;12.745;0.51972;0.21544;12.748;12.746;0.44489;0.19922;12.75;12.747;0.37804;0.18069;12.751;12.748;0.31931;0.16146;12.751;12.748;0.2685;0.14262;12.752;12.749;0.22501;0.12484;12.752;12.749;0.18809;0.10848;12.752;12.75;0.15689;0.0937;12.752;12.75;0.13064;0.08052;12.752;12.75;0.10862;0.0689;12.752;12.75;0.090215;0.058747;12.752;12.75;0.074862;0.049941;12.751;12.75;0.062072;0.042344;12.751;12.75;0.051431;0.03582;12.751;12.75;0.042587;0.030237;12.751;12.75
13.5;0.;1.2367999999999998e-7;5.9045e-9;13.5;13.5;0.7704;0.123;13.472;13.492;0.84416;0.19481;13.483;13.492;0.80251;0.23073;13.489;13.492;0.72382;0.24296;13.493;13.494;0.63605;0.2401;13.496;13.495;0.5502;0.22807;13.498;13.496;0.47097;0.2109;13.5;13.497;0.40021;0.19128;13.501;13.498;0.33803;0.17092;13.501;13.498;0.28424;0.15098;13.502;13.499;0.2382;0.13216;13.502;13.499;0.19911;0.11484;13.502;13.5;0.16609;0.099191;13.502;13.5;0.1383;0.085238;13.502;13.5;0.11499;0.072938;13.502;13.5;0.095504;0.06219;13.502;13.5;0.079251;0.052868;13.502;13.5;0.065711;0.044826;13.501;13.5;0.054446;0.037919;13.501;13.5;0.045084;0.032009;13.501;13.5
14.25;0.;1.3055000000000001e-7;6.2325000000000006e-9;14.25;14.25;0.81309;0.12981;14.22;14.242;0.89093;0.20559;14.232;14.241;0.84696;0.2435;14.238;14.242;0.76391;0.25641;14.243;14.243;0.67129;0.25339;14.246;14.245;0.58068;0.24069;14.248;14.246;0.49706;0.22257;14.25;14.247;0.42238;0.20187;14.251;14.248;0.35675;0.18038;14.251;14.248;0.29998;0.15934;14.252;14.249;0.2514;0.13948;14.252;14.249;0.21014;0.1212;14.252;14.25;0.17529;0.10468;14.252;14.25;0.14595;0.089957;14.252;14.25;0.12136;0.076975;14.252;14.25;0.10079;0.065633;14.252;14.25;0.08364;0.055795;14.252;14.25;0.06935;0.047308;14.252;14.25;0.057461;0.040019;14.251;14.25;0.04758;0.033781;14.251;14.25
15.;0.;1.3743e-7;6.560600000000001e-9;15.;15.;0.8664;0.13871;14.968;14.991;0.94984;0.21973;14.98;14.99;0.90263;0.26024;14.988;14.991;0.81458;0.27408;14.992;14.993;0.7161;0.27091;14.996;14.994;0.61964;0.25738;14.998;14.995;0.53039;0.23798;15.;14.997;0.45045;0.21576;15.001;14.997;0.38039;0.19275;15.001;14.998;0.3199;0.17025;15.002;14.999;0.26814;0.14902;15.002;14.999;0.22417;0.12948;15.002;14.999;0.18701;0.11184;15.002;15.;0.15574;0.096114;15.002;15.;0.12952;0.082253;15.002;15.;0.1076;0.070138;15.002;15.;0.089298;0.059627;15.002;15.;0.07405;0.050559;15.002;15.;0.061364;0.042772;15.001;15.;0.050824;0.036112;15.001;15.
15.75;0.;1.443e-7;6.8886e-9;15.75;15.75;0.90429;0.14455;15.717;15.741;0.99118;0.22897;15.729;15.74;0.94182;0.27119;15.737;15.741;0.84985;0.28561;15.742;15.742;0.74703;0.2823;15.746;15.744;0.64634;0.2682;15.748;15.745;0.55323;0.24799;15.75;15.746;0.46982;0.22484;15.751;15.747;0.39674;0.20086;15.751;15.748;0.33363;0.17741;15.752;15.749;0.27964;0.15528;15.752;15.749;0.23377;0.13493;15.752;15.749;0.19501;0.11654;15.752;15.75;0.1624;0.10015;15.752;15.75;0.13506;0.085701;15.752;15.75;0.1122;0.073083;15.752;15.75;0.093114;0.062133;15.752;15.75;0.077215;0.052685;15.752;15.75;0.063986;0.044571;15.752;15.75;0.052995;0.037631;15.751;15.75
16.5;0.;1.5117e-7;7.2166e-9;16.5;16.5;0.93937;0.14977;16.465;16.49;1.0294;0.23722;16.479;16.49;0.97783;0.28095;16.487;16.491;0.88208;0.29587;16.492;16.492;0.77519;0.29241;16.495;16.494;0.67052;0.27778;16.498;16.495;0.57372;0.25679;16.5;16.496;0.48698;0.23274;16.501;16.497;0.41115;0.20788;16.501;16.498;0.34585;0.18362;16.502;16.499;0.28994;0.16071;16.502;16.499;0.2424;0.13964;16.502;16.499;0.20224;0.12061;16.502;16.5;0.16845;0.10366;16.502;16.5;0.1401;0.088735;16.502;16.5;0.11638;0.075691;16.502;16.5;0.096576;0.064379;16.502;16.5;0.080067;0.05461;16.502;16.5;0.066327;0.046207;16.502;16.5;0.054908;0.039013;16.501;16.5
17.25;0.;1.5804e-7;7.5446e-9;17.25;17.25;0.99896;0.16006;17.213;17.24;1.0954;0.25356;17.227;17.239;1.041;0.30033;17.236;17.24;0.93933;0.31628;17.241;17.242;0.82568;0.31258;17.245;17.243;0.71435;0.29693;17.248;17.245;0.61142;0.27452;17.25;17.246;0.51912;0.24881;17.251;17.247;0.43841;0.22226;17.252;17.248;0.36884;0.19635;17.252;17.249;0.30922;0.17188;17.252;17.249;0.25851;0.14935;17.252;17.249;0.21568;0.129;17.252;17.25;0.17965;0.11086;17.252;17.25;0.14944;0.094875;17.252;17.25;0.12416;0.08091;17.252;17.25;0.10306;0.068793;17.252;17.25;0.085467;0.058338;17.252;17.25;0.070821;0.04936;17.252;17.25;0.058639;0.041681;17.252;17.25
18.;0.;1.6490999999999999e-7;7.8727e-9;18.;18.;1.0333;0.16517;17.962;17.989;1.1327;0.26163;17.977;17.989;1.076;0.30986;17.985;17.99;0.971;0.32633;17.991;17.991;0.85347;0.32253;17.995;17.993;0.73833;0.30639;17.998;17.995;0.63171;0.28322;18.;17.996;0.53632;0.25672;18.001;17.997;0.45309;0.22937;18.002;17.998;0.3811;0.20259;18.002;17.998;0.31943;0.17731;18.002;17.999;0.26704;0.15405;18.003;17.999;0.2228;0.13306;18.003;18.;0.18558;0.11436;18.003;18.;0.15435;0.097883;18.002;18.;0.12822;0.08349;18.002;18.;0.1064;0.071005;18.002;18.;0.088217;0.060223;18.002;18.;0.073085;0.050955;18.002;18.;0.060509;0.043021;18.002;18.
18.75;0.;1.7178e-7;8.2007e-9;18.75;18.75;1.0879;0.17442;18.71;18.739;1.1941;0.27641;18.725;18.738;1.1349;0.32747;18.734;18.739;1.0242;0.34485;18.74;18.741;0.90017;0.34084;18.745;18.743;0.77859;0.32374;18.748;18.744;0.66637;0.29929;18.749;18.746;0.56598;0.27134;18.751;18.747;0.47799;0.24239;18.752;18.748;0.40195;0.21405;18.752;18.748;0.33692;0.18732;18.753;18.749;0.28169;0.16276;18.753;18.749;0.23502;0.14058;18.753;18.75;0.19575;0.12082;18.753;18.75;0.16271;0.10339;18.753;18.75;0.13513;0.088156;18.752;18.75;0.11214;0.074942;18.752;18.75;0.092992;0.063541;18.752;18.75;0.077062;0.053752;18.752;18.75;0.063826;0.045381;18.752;18.75
19.5;0.;1.7865e-7;8.528700000000002e-9;19.5;19.5;1.1247;0.18;19.459;19.488;1.2331;0.28513;19.474;19.488;1.1723;0.33773;19.484;19.489;1.0583;0.35575;19.49;19.491;0.93001;0.35164;19.494;19.492;0.80428;0.33401;19.497;19.494;0.68816;0.30877;19.499;19.495;0.58442;0.27991;19.501;19.497;0.49359;0.25004;19.502;19.498;0.41505;0.22077;19.502;19.498;0.3479;0.19321;19.503;19.499;0.29089;0.16788;19.503;19.499;0.24271;0.14501;19.503;19.5;0.20216;0.12465;19.503;19.5;0.16814;0.1067;19.503;19.5;0.13967;0.091034;19.502;19.5;0.1159;0.07744;19.502;19.5;0.096089;0.065681;19.502;19.5;0.079596;0.055576;19.502;19.5;0.065884;0.046922;19.502;19.5
20.25;0.;1.8551999999999998e-7;8.8568e-9;20.25;20.25;1.1689;0.18716;20.207;20.238;1.283;0.29661;20.223;20.237;1.2189;0.35133;20.233;20.238;1.1;0.36998;20.24;20.24;0.96634;0.36557;20.244;20.242;0.83543;0.3471;20.247;20.244;0.71481;0.32078;20.249;20.245;0.60714;0.29076;20.251;20.247;0.51286;0.25974;20.252;20.248;0.4313;0.22952;20.252;20.248;0.36145;0.20095;20.253;20.249;0.3021;0.17459;20.253;20.249;0.25202;0.15072;20.253;20.25;0.20993;0.12948;20.253;20.25;0.17466;0.11078;20.253;20.25;0.14517;0.094466;20.253;20.25;0.12056;0.080327;20.252;20.25;0.10004;0.068135;20.252;20.25;0.082934;0.057664;20.252;20.25;0.068699;0.048705;20.252;20.25
21.;0.;1.9239999999999998e-7;9.1848e-9;21.;21.;1.2017;0.19182;20.956;20.988;1.3169;0.30384;20.973;20.987;1.2515;0.35987;20.983;20.988;1.1296;0.37907;20.99;20.99;0.99268;0.37469;20.994;20.992;0.85839;0.3559;20.997;20.994;0.73438;0.329;20.999;20.995;0.62361;0.29824;21.001;20.996;0.52661;0.26645;21.002;20.997;0.44282;0.23534;21.003;20.998;0.37111;0.20599;21.003;20.999;0.30998;0.17902;21.003;20.999;0.25833;0.15459;21.003;21.;0.21485;0.1328;21.003;21.;0.17844;0.11357;21.003;21.;0.14816;0.096764;21.003;21.;0.12298;0.082207;21.002;21.;0.10202;0.069679;21.002;21.;0.084558;0.058943;21.002;21.;0.07003;0.049766;21.002;21.
